schema,table,column,type,pk,fk_to,description
citydb,address,id,bigint,yes,,Auto-generated primary key (from address_seq)
citydb,address,objectid,text,,,Optional external object identifier
citydb,address,identifier,text,,,GML identifier for address
citydb,address,identifier_codespace,text,,,Codespace of the identifier
citydb,address,street,text,,,Street name
citydb,address,house_number,text,,,House number
citydb,address,po_box,text,,,PO box
citydb,address,zip_code,text,,,Postal/zip code
citydb,address,city,text,,,City name
citydb,address,state,text,,,State or province
citydb,address,country,text,,,Country name
citydb,address,free_text,jsonb,,,Unstructured address text as JSON
citydb,address,multi_point,geometry(MultiPointZ 4326),,,Spatial location of the address (WGS84 3D)
citydb,address,content,text,,,Raw XML/GML content of the address element
citydb,address,content_mime_type,text,,,MIME type of content field
citydb,ade,id,integer,yes,,Auto-generated PK (from ade_seq); max 2147483647
citydb,ade,name,text,,,Human-readable name of the ADE
citydb,ade,description,text,,,Description of the ADE
citydb,ade,version,text,,,Version string of the ADE
citydb,appear_to_surface_data,id,bigint,yes,,Auto-generated PK
citydb,appear_to_surface_data,appearance_id,bigint,,citydb.appearance.id,FK to the appearance object
citydb,appear_to_surface_data,surface_data_id,bigint,,citydb.surface_data.id,FK to the surface data (texture/material)
citydb,appearance,id,bigint,yes,,Auto-generated PK (from appearance_seq)
citydb,appearance,objectid,text,,,External object identifier
citydb,appearance,identifier,text,,,GML identifier
citydb,appearance,identifier_codespace,text,,,Codespace of identifier
citydb,appearance,theme,text,,,Appearance theme name (e.g. 'daylight')
citydb,appearance,is_global,integer,,,1 if this appearance applies globally (not per-feature)
citydb,appearance,feature_id,bigint,,citydb.feature.id,FK to the feature this appearance belongs to (null if global)
citydb,appearance,implicit_geometry_id,bigint,,citydb.implicit_geometry.id,FK to implicit geometry if appearance is on a template
citydb,building,id,bigint,yes,citydb.cityobject.id,PK shared with cityobject (v4 compat table)
citydb,building,building_parent_id,bigint,,citydb.building.id,FK to parent building (for building parts)
citydb,building,building_root_id,bigint,,citydb.building.id,FK to root building in the hierarchy
citydb,building,objectclass_id,integer,,citydb.objectclass.id,FK to objectclass (26=Building 25=BuildingPart)
citydb,building,measured_height,double precision,,,Measured height of the building in metres
citydb,building,measured_height_unit,varchar(4000),,,Unit of measure for measured_height
citydb,building,storeys_above_ground,numeric,,,Number of storeys above ground level
