tabula_archetype_code,tabula_epoca,tabula_slot,tabula_construction_code,component_type_it,catalog_description,u_value,u_value_from_R,u_value_best,y_internal,y_external,n_layers,total_thickness_m,source_file,parse_error
SFH_01,Fino al 1900,roof,Roof_01.01,Chiusura superiore,"Tetto a falde con struttura e tavolato in legno (U=1,8 W/m2K)",1.796407186,1.4150943395558917,1.796407186,2.072204896,2.153543135,1,0.05,Roof_01.01.xlsx,
SFH_01,Fino al 1900,wall_1,Wall_01.03,Chiusura verticale,"Muratura di pietra listata con mattoni (40 cm) (U=1,61 W/m2K)",1.610841217,1.3499035783042648,1.610841217,4.319789684,6.608094443,3,0.4,Wall_01.03.xlsx,
SFH_01,Fino al 1900,floor_1,Floor_01.04,Chiusura orizzontale inferiore,,2.089337176,1.7901234566464717,2.089337176,4.122938747,7.613380818,2,0.31,Floor_01.04.xlsx,
SFH_01,Fino al 1900,floor_2,Floor_01.04,Chiusura orizzontale inferiore,,2.089337176,1.7901234566464717,2.089337176,4.122938747,7.613380818,2,0.31,Floor_01.04.xlsx,
SFH_02,1901-1920,roof,Roof_01.01,Chiusura superiore,"Tetto a falde con struttura e tavolato in legno (U=1,8 W/m2K)",1.796407186,1.4150943395558917,1.796407186,2.072204896,2.153543135,1,0.05,Roof_01.01.xlsx,
SFH_02,1901-1920,wall_1,Wall_01.03,Chiusura verticale,"Muratura di pietra listata con mattoni (40 cm) (U=1,61 W/m2K)",1.610841217,1.3499035783042648,1.610841217,4.319789684,6.608094443,3,0.4,Wall_01.03.xlsx,
SFH_02,1901-1920,floor_1,Floor_01.04,Chiusura orizzontale inferiore,,2.089337176,1.7901234566464717,2.089337176,4.122938747,7.613380818,2,0.31,Floor_01.04.xlsx,
SFH_02,1901-1920,floor_2,Floor_01.04,Chiusura orizzontale inferiore,,2.089337176,1.7901234566464717,2.089337176,4.122938747,7.613380818,2,0.31,Floor_01.04.xlsx,
SFH_03,1921-1945,roof,Roof_01.01,Chiusura superiore,"Tetto a falde con struttura e tavolato in legno (U=1,8 W/m2K)",1.796407186,1.4150943395558917,1.796407186,2.072204896,2.153543135,1,0.05,Roof_01.01.xlsx,
SFH_03,1921-1945,wall_1,Wall_01.06,Chiusura verticale,"Muratura in mattoni pieni (38 cm) (U=1,48 W/m2K)",1.482004234,1.2582384660870827,1.482004234,,,3,0.38,Wall_01.06.xlsx,
SFH_03,1921-1945,floor_1,Floor_01.04,Chiusura orizzontale inferiore,,2.089337176,1.7901234566464717,2.089337176,4.122938747,7.613380818,2,0.31,Floor_01.04.xlsx,
SFH_03,1921-1945,floor_2,Floor_01.04,Chiusura orizzontale inferiore,,2.089337176,1.7901234566464717,2.089337176,4.122938747,7.613380818,2,0.31,Floor_01.04.xlsx,
SFH_04,1946-1960,roof,Roof_03.01,Chiusura superiore,"Tetto a falde in laterizio (U=2,2 W/m2K)",2.216748768,1.6635859519716003,2.216748768,,,2,0.19,Roof_03.01.xlsx,
SFH_04,1946-1960,wall_1,Wall_01.06,Chiusura verticale,"Muratura in mattoni pieni (38 cm) (U=1,48 W/m2K)",1.482004234,1.2582384660870827,1.482004234,,,3,0.38,Wall_01.06.xlsx,
SFH_04,1946-1960,floor_1,Floor_01.04,Chiusura orizzontale inferiore,,2.089337176,1.7901234566464717,2.089337176,4.122938747,7.613380818,2,0.31,Floor_01.04.xlsx,
SFH_04,1946-1960,floor_2,Floor_01.04,Chiusura orizzontale inferiore,,2.089337176,1.7901234566464717,2.089337176,4.122938747,7.613380818,2,0.31,Floor_01.04.xlsx,
SFH_05,1961-1975,roof,Roof_03.01,Chiusura superiore,"Tetto a falde in laterizio (U=2,2 W/m2K)",2.216748768,1.6635859519716003,2.216748768,,,2,0.19,Roof_03.01.xlsx,
SFH_05,1961-1975,wall_1,Wall_04.02,Chiusura verticale,"Muratura in mattoni forati (40 cm) (U=1,26 W/m2K)",1.26227209,1.096224116957277,1.26227209,3.929188318,5.539627983,3,0.4,Wall_04.02.xlsx,
SFH_05,1961-1975,floor_1,Floor_01.04,Chiusura orizzontale inferiore,,2.089337176,1.7901234566464717,2.089337176,4.122938747,7.613380818,2,0.31,Floor_01.04.xlsx,
SFH_05,1961-1975,floor_2,Floor_01.04,Chiusura orizzontale inferiore,,2.089337176,1.7901234566464717,2.089337176,4.122938747,7.613380818,2,0.31,Floor_01.04.xlsx,
SFH_06,1976-1990,roof,Roof_06.02,Chiusura superiore,"Tetto a falde in laterizio, basso livello di isolamento (U=1,14 W/m2K)",1.128803577,0.9653499974881593,1.128803577,,,3,0.21,Roof_06.02.xlsx,
SFH_06,1976-1990,wall_1,Wall_06.02,Chiusura verticale,"Muratura a cassa-vuota con mattoni forati (40 cm), basso livello di isolamento (U=0,76 W/m2K)",0.7653522607,0.7009732823360503,0.7653522607,,,6,0.4,Wall_06.02.xlsx,
SFH_06,1976-1990,floor_1,Floor_06.01,Chiusura orizzontale inferiore,,0.9753694581,0.9047706088705836,0.9753694581,,,5,0.37000000000000005,Floor_06.01.xlsx,
SFH_06,1976-1990,floor_2,Floor_06.01,Chiusura orizzontale inferiore,,0.9753694581,0.9047706088705836,0.9753694581,,,5,0.37000000000000005,Floor_06.01.xlsx,
SFH_07,1991-2005,roof,Roof_03.01,Chiusura superiore,"Tetto a falde in laterizio (U=2,2 W/m2K)",2.216748768,1.6635859519716003,2.216748768,,,2,0.19,Roof_03.01.xlsx,
SFH_07,1991-2005,ceiling,Ceiling_07.01,Partizione orizzontale,"Solaio latero-cementizio, medio livello di isolamento (U=0,69 W/m2K)",0.6799592681,0.6663662114710414,0.6799592681,,,3,0.27,Ceiling_07.01.xlsx,
SFH_07,1991-2005,wall_1,Wall_07.03,Chiusura verticale,"Muratura in mattoni forati (40 cm), medio livello di isolamento (U=0,59 W/m2K)",0.5905767317,0.5514928690540908,0.5905767317,,,4,0.4,Wall_07.03.xlsx,
SFH_07,1991-2005,floor_1,Floor_07.01,Chiusura orizzontale inferiore,,0.7740422205,0.7289059048311645,0.7740422205,,,5,0.39,Floor_07.01.xlsx,
SFH_07,1991-2005,floor_2,Floor_07.01,Chiusura orizzontale inferiore,,0.7740422205,0.7289059048311645,0.7740422205,,,5,0.39,Floor_07.01.xlsx,
SFH_08,Dopo il 2005,roof,Roof_07.02,Chiusura superiore,"Tetto a falde in laterizio, medio livello di isolamento (U=0,74 W/m2K)",0.7351849101,0.6621630661042289,0.7351849101,,,3,0.23,Roof_07.02.xlsx,
SFH_08,Dopo il 2005,ceiling,Ceiling_08.01,Partizione orizzontale,"Solaio latero-cementizio, alto livello di isolamento (U=0,3 W/m2K)",0.2984084881,0.29576076241524024,0.2984084881,,,3,0.34,Ceiling_08.01.xlsx,
SFH_08,Dopo il 2005,wall_1,Wall_08.01,Chiusura verticale,"Muratura in mattoni alveolati (alta resistenza termica), alto livello di isolamento (U=0,34 W/m2K)",0.3366103868,0.3235414954590898,0.3366103868,,,4,0.37,Wall_08.01.xlsx,
SFH_08,Dopo il 2005,floor_1,Floor_08.02,Chiusura orizzontale inferiore,,0.3357258625,0.32694475757306146,0.3357258625,0.7319245626,7.625576748,3,0.41,Floor_08.02.xlsx,
