row_id,citydb_address,pg_type,attribute_type,geo_role,status,calculator,method,cim_source,logic
1,citydb.address.id,bigint,integer,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
2,citydb.address.objectid,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
3,citydb.address.identifier,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
4,citydb.address.identifier_codespace,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
5,citydb.address.street,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
6,citydb.address.house_number,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
7,citydb.address.po_box,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
8,citydb.address.zip_code,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
9,citydb.address.city,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
10,citydb.address.state,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
11,citydb.address.country,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
12,citydb.address.free_text,jsonb,json,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
13,citydb.address.multi_point,geometry(MultiPointZ 4326),geometry,GEO-DIRECT,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
14,citydb.address.content,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
15,citydb.address.content_mime_type,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
16,citydb.ade.id,integer,integer,GEO-NONE,DB-INIT,—,—,—,Populated at database initialization.
17,citydb.ade.name,text,text,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
18,citydb.ade.description,text,text,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
19,citydb.ade.version,text,text,GEO-NONE,DB-INIT,—,—,—,Database metadata table.
20,citydb.appear_to_surface_data.id,bigint,integer,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
21,citydb.appear_to_surface_data.appearance_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
22,citydb.appear_to_surface_data.surface_data_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
23,citydb.appearance.id,bigint,integer,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
24,citydb.appearance.objectid,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
25,citydb.appearance.identifier,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
26,citydb.appearance.identifier_codespace,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
27,citydb.appearance.theme,text,text,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
28,citydb.appearance.is_global,integer,integer,GEO-NONE,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
29,citydb.appearance.feature_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
30,citydb.appearance.implicit_geometry_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,Out of scope for current CIM→CityDB pipeline.
31,citydb.building.id,bigint,fk,GEO-NONE,SCHEMA,citydb_mapper_calculator,map_scenario_to_citydb,db_sequence,Auto-generated PK from PostgreSQL sequence on insert.
32,citydb.building.building_parent_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
33,citydb.building.building_root_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
34,citydb.building.objectclass_id,integer,fk,GEO-FK,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
35,citydb.building.measured_height,double precision,numeric,GEO-NONE,MAPPED,citydb_mapper_calculator,map_scenario_to_citydb,cim_vector.cim_wizard_building_properties.height,Direct copy from building_properties.height.
36,citydb.building.measured_height_unit,varchar(4000),text,GEO-NONE,MAPPED,citydb_mapper_calculator,map_scenario_to_citydb,constant:m,Literal m when height present.
37,citydb.building.storeys_above_ground,numeric,numeric,GEO-NONE,MAPPED,citydb_mapper_calculator,map_scenario_to_citydb,cim_vector.cim_wizard_building_properties.number_of_floors,Cast number_of_floors to integer storeys_above_ground.
38,citydb.building.storeys_below_ground,numeric,numeric,GEO-NONE,PLANNED-1,ctdb_building_semantic_calculator,ctdb_from_cim,cim_vector.cim_wizard_building.building_surfaces_lod12.metadata,Count basement storeys from mixed-use LOD1.2 metadata when available.
39,citydb.building.lod0_footprint_id,bigint,fk,GEO-FK,SCHEMA,ctdb_geometry_calculator,ctdb_map_lod12_surfaces,cim_vector.cim_wizard_building.building_geometry,Optional: persist footprint polygon as LoD0 surface_geometry FK.
40,citydb.building.lod0_roofprint_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
41,citydb.building.lod1_multi_surface_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
42,citydb.building.lod2_multi_surface_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
43,citydb.building.lod3_multi_surface_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
44,citydb.building.lod4_multi_surface_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
45,citydb.building.lod1_solid_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
46,citydb.building.lod2_solid_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
47,citydb.building.lod3_solid_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
48,citydb.building.lod4_solid_id,bigint,fk,GEO-FK,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
49,citydb.citymodel.id,bigint,integer,GEO-NONE,MAPPED,citydb_mapper_calculator,map_scenario_to_citydb,db_sequence,Auto-generated PK from PostgreSQL sequence on insert.
50,citydb.citymodel.gmlid,varchar(256),text,GEO-NONE,MAPPED,citydb_mapper_calculator,map_scenario_to_citydb,cim_vector.cim_wizard_project_scenario.scenario_id,Map scenario UUID to CityModel gmlid.
51,citydb.citymodel.name,varchar(1000),text,GEO-NONE,MAPPED,citydb_mapper_calculator,map_scenario_to_citydb,cim_vector.cim_wizard_project_scenario.scenario_id,Synthetic name CIM-Scenario-{scenario_id[:8]}.
52,citydb.citymodel.name_codespace,varchar(4000),text,GEO-NONE,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
53,citydb.citymodel.description,varchar(4000),text,GEO-NONE,MAPPED,citydb_mapper_calculator,map_scenario_to_citydb,cim_vector.cim_wizard_project_scenario.project_id,Description text project {project_id}.
54,citydb.citymodel.envelope,geometry(Geometry 4326),geometry,GEO-DIRECT,PLANNED-1,ctdb_envelope_calculator,ctdb_citymodel_envelope,citydb.surface_geometry.geometry,ST_Envelope(ST_Collect(member building surface geometries)).
55,citydb.citymodel.creation_date,timestamptz,timestamp,GEO-NONE,SCHEMA,—,—,—,Timestamp when the model was created
56,citydb.citymodel.last_modification_date,timestamptz,timestamp,GEO-NONE,SCHEMA,—,—,—,Timestamp of last modification
57,citydb.citymodel.lineage,varchar(256),text,GEO-NONE,SCHEMA,—,—,—,Data lineage / provenance string
58,citydb.cityobject.id,bigint,integer,GEO-NONE,MAPPED,citydb_mapper_calculator,map_scenario_to_citydb,db_sequence,Auto-generated PK from PostgreSQL sequence on insert.
59,citydb.cityobject.objectclass_id,integer,fk,GEO-NONE,MAPPED,citydb_mapper_calculator,map_scenario_to_citydb,constant:26,Fixed objectclass_id=26 (Building).
60,citydb.cityobject.gmlid,varchar(256),text,GEO-NONE,MAPPED,citydb_mapper_calculator,map_scenario_to_citydb,cim_vector.cim_wizard_building.building_id,Map building UUID to building CityObject gmlid.
61,citydb.cityobject.gmlid_codespace,varchar(1000),text,GEO-NONE,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
62,citydb.cityobject.name,varchar(1000),text,GEO-NONE,MAPPED,citydb_mapper_calculator,map_scenario_to_citydb,cim_vector.cim_wizard_building.building_name,building_name or fallback BUI-{building_id[:8]}.
63,citydb.cityobject.name_codespace,varchar(4000),text,GEO-NONE,SCHEMA,—,—,—,FK or codespace column filled implicitly by parent row insert.
64,citydb.cityobject.description,varchar(4000),text,GEO-NONE,SCHEMA,—,—,—,Textual description
65,citydb.cityobject.envelope,geometry(Geometry 4326),geometry,GEO-DIRECT,PLANNED-1,ctdb_envelope_calculator,ctdb_citymodel_envelope,citydb.surface_geometry.geometry,ST_Envelope of all surfaces belonging to this building.
66,citydb.cityobject.creation_date,timestamptz,timestamp,GEO-NONE,MAPPED,citydb_mapper_calculator,map_scenario_to_citydb,db_default,PostgreSQL default now() on insert.
67,citydb.cityobject.termination_date,timestamptz,timestamp,GEO-NONE,SCHEMA,—,—,—,Date when the object was terminated/demolished
