COD_CIVICO,COMUNE,VIA,CIVICO,CIRCOSCRIZIONE,CAP,COORDINATA_X,COORDINATA_Y
135263,Torino,VIA PIETRO PALMIERI,63 scala B,3,10138,7.65980409401881,45.0718320467678
56755,Torino,VIA BARNABA PANIZZA,1 scala B,2,10137,7.62859054375636,45.0460046684013
56756,Torino,VIA BARNABA PANIZZA,2,2,10137,7.62827144771708,45.0465240374053
56761,Torino,VIA BARNABA PANIZZA,6,2,10137,7.62779112446819,45.0467430588795
56763,Torino,VIA BARNABA PANIZZA,9,2,10137,7.62786453869643,45.0465107228084
56740,Torino,VIA PASQUALE PAOLI,5,8,10134,7.65443575745808,45.0382396469893
81466,Torino,VIA PASQUALE PAOLI,9,8,10134,7.65431108992064,45.0380572687082
56746,Torino,VIA PASQUALE PAOLI,12,8,10134,7.65411170785247,45.0380778824278
56747,Torino,VIA PASQUALE PAOLI,14,8,10134,7.65398622655597,45.0378945310029
56732,Torino,VIA PASQUALE PAOLI,30,8,10134,7.65329336726292,45.0368821658341
56700,Torino,VIA PASQUALE PAOLI,32,8,10134,7.65321827983984,45.0367724664716
85643,Torino,VIA LUIGI PALMA DI CESNOLA,42 scala A,8,10127,7.6536466348213,45.0235012148439
56638,Torino,VIA LUIGI PALMA DI CESNOLA,46,8,10127,7.65376275932851,45.0232268311894
56641,Torino,VIA LUIGI PALMA DI CESNOLA,63,8,10127,7.65308974140217,45.0215715014755
59605,Torino,VIA PIANEZZA,102,5,10151,7.64883847671528,45.0950333542567
59592,Torino,VIA PIANEZZA,157,5,10151,7.64549666013819,45.0956022154413
59567,Torino,VIA PIANEZZA,176 scala C,5,10151,7.64224522166285,45.0971247045418
59568,Torino,VIA PIANEZZA,178 scala A,5,10151,7.64163913673024,45.0968016892762
59570,Torino,VIA PIANEZZA,180 scala A,5,10151,7.64104714515832,45.0968529496305
59571,Torino,VIA PIANEZZA,180 scala C,5,10151,7.6410071608458,45.0972826385312
135023,Torino,VIA PIANEZZA,185 scala B,5,10151,7.64240628349558,45.0961642806789
81942,Torino,VIA PIANEZZA,218,5,10151,7.63579492140703,45.0973751094669
58518,Torino,CORSO PESCHIERA,140 int. 4,3,10138,7.65386342309099,45.0634657189044
58521,Torino,CORSO PESCHIERA,140 int. 10,3,10138,7.65400303697211,45.0638409737763
58525,Torino,CORSO PESCHIERA,142 int. 5,3,10138,7.65378934705672,45.0638054992532
58498,Torino,CORSO PESCHIERA,145,3,10141,7.65254798938294,45.0633038173513
58617,Torino,VIA PESARO,36,7,10152,7.67908072321341,45.0835391019598
58623,Torino,VIA PESARO,40,7,10152,7.68005627825216,45.0832332428186
58626,Torino,VIA PESARO,43,7,10152,7.68028081511653,45.0832981210538
126218,Torino,VIA PESARO,50 scala A,7,10152,7.68052163481177,45.0830152190681
126219,Torino,VIA PESARO,50 scala B,7,10152,7.68070441391009,45.0829613608229
85794,Torino,VIA PESCARA,3,6,10154,7.71777450925641,45.0960454042083
58607,Torino,VIA BELLOM PESCAROLO,12,8,10134,7.6605579975948,45.0426169238319
57752,Torino,VIA GIUSEPPE PEANO,3 scala B,1,10129,7.66101016998116,45.0616486552449
57606,Torino,VIA FEDERICO PATETTA,28 scala A,6,10155,7.70006351338228,45.1040709200388
57607,Torino,VIA FEDERICO PATETTA,28 scala B,6,10155,7.70012033886102,45.1041602852373
57609,Torino,STRADA DEL PAVARINO,5,7,10132,7.73678922670344,45.0633746834033
57611,Torino,STRADA DEL PAVARINO,8 int. 4,7,10132,7.73718631557153,45.0633098518839
85714,Torino,STRADA DEL PAVARINO,8 int. 8,7,10132,7.73741491639356,45.0632264669005
57582,Torino,STRADA DEL PAVARINO,8 int. 12,7,10132,7.73767735007032,45.0632563735628
57586,Torino,STRADA DEL PAVARINO,21,7,10132,7.73664030523693,45.0643845907017
57591,Torino,STRADA DEL PAVARINO,44,7,10132,7.73925064692516,45.064134512099
57593,Torino,VIA PAVAROLO,5 scala C,6,10156,7.73498011519303,45.0958349498324
57717,Torino,VIA PAVAROLO,9 scala E,6,10156,7.73416792888478,45.0965862978877
57719,Torino,VIA PAVAROLO,9 scala G,6,10156,7.73424621151066,45.0962551598913
57727,Torino,VIA CESARE PAVESE,4,2,10135,7.63052031831671,45.0176414181421
57702,Torino,VIA CESARE PAVESE,7,2,10135,7.63127019992035,45.0177620859737
56647,Torino,VIA PIETRO PALMIERI,4,4,10143,7.66094250788955,45.0780364417095
56652,Torino,VIA PIETRO PALMIERI,13,4,10143,7.66111972606197,45.0777532456312
56661,Torino,VIA PIETRO PALMIERI,19,4,10143,7.6611886850906,45.077044050906
81453,Torino,VIA PIETRO PALMIERI,21,4,10143,7.66120383784613,45.0768832054232
56668,Torino,VIA PIETRO PALMIERI,23,4,10143,7.66121477029616,45.0767676072158
56671,Torino,VIA PIETRO PALMIERI,26,3,10138,7.66115904992463,45.0756670130586
56676,Torino,VIA PIETRO PALMIERI,30,3,10138,7.66121155078534,45.0750520353924
56678,Torino,VIA PIETRO PALMIERI,33,3,10138,7.66137556304196,45.0749601510405
85645,Torino,VIA PIETRO PALMIERI,35,3,10138,7.66139236009302,45.0747680076849
133700,Torino,VIA PIETRO PALMIERI,40 scala B,3,10138,7.6607687142096,45.0737522296346
81456,Torino,VIA PIETRO PALMIERI,47,3,10138,7.66061015685903,45.0731256757462
135718,Torino,VIA PIETRO PALMIERI,49 scala A,3,10138,7.66081227516622,45.0728046904647
135719,Torino,VIA PIETRO PALMIERI,49 scala B,3,10138,7.66099856641369,45.0727437597352
135721,Torino,VIA PIETRO PALMIERI,51 scala A,3,10138,7.66052766090837,45.0728732172662
135722,Torino,VIA PIETRO PALMIERI,51 scala B,3,10138,7.66051191539578,45.0728506092128
56569,Torino,VIA NATALE PALLI,27,5,10147,7.68065779585595,45.1017265984764
85638,Torino,VIA NATALE PALLI,31,5,10147,7.68053063587801,45.1017362373106
81438,Torino,VIA NATALE PALLI,32,5,10147,7.68033649034326,45.1018882919855
81949,Torino,VIA PIANEZZA,72,5,10149,7.65222871989037,45.0933145295186
59633,Torino,VIA PIANEZZA,73,5,10149,7.65279986484398,45.0927518477134
59612,Torino,VIA PIANEZZA,82,5,10149,7.65128029272278,45.0939799542693
59613,Torino,VIA PIANEZZA,83,5,10149,7.65192433328494,45.0933347909845
59618,Torino,VIA PIANEZZA,88,5,10149,7.65118796174407,45.0942343233595
59620,Torino,VIA PIANEZZA,91 scala A,5,10149,7.6513758659741,45.093615614532
