period_id,period_label,building_class,tabula_archetype,tabula_epoca,wall_code_primary,u_wall_primary,wall_code_secondary,u_wall_secondary,wall_code_tertiary,u_wall_tertiary,roof_code,u_roof,ceiling_code,u_ceiling,floor_code,u_floor,window_u_mean,window_u_std,window_u_median,window_u_q1,window_u_q3,window_u_source,window_g_value,window_g_source,wall_description_urbem,roof_description_urbem,urbem_wall_mix,envelope_source,confidence
P1,before_1918,SFH,SFH_01,Fino al 1900,Wall_01.03,1.6108,,,,,Roof_01.01,1.7964,,,Floor_01.04,2.0893,,,,,,missing: URBEM SFH/MFH workbooks not in repo - do not copy Apartments values,,"missing: TABULA national window table not extracted - use defaults, do not invent",,,,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium: opaque from TABULA; windows/systems missing for this class
P1,before_1918,MFH,MFH_01,Fino al 1900,Wall_01.04,1.1862,,,,,Roof_01.01,1.7964,Ceiling_01.01,2.0795,Floor_01.01,1.5879,,,,,,missing: URBEM SFH/MFH workbooks not in repo - do not copy Apartments values,,"missing: TABULA national window table not extracted - use defaults, do not invent",,,,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium: opaque from TABULA; windows/systems missing for this class
P1,before_1918,Apartments,AB_01,Fino al 1900,Wall_01.04,1.1862,Wall_01.07,1.1349,Wall_01.08,1.0189,Roof_01.01,1.7964,Ceiling_01.02,2.8571,Floor_01.01,1.5879,3.19,1.24,,,,URBEM ['-1930'] EPC apartments (n=58853),,"missing: TABULA national window table not extracted - use defaults, do not invent",External walls: solid brick masonry (cod. MLP01).,Roof slabs: concrete floor slab (cod. SOL06).,Hollow brick masonry: 8.00%; Solid Brick masonry: 89.00%; Unknown: 3.00%,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium (proxy: URBEM <1930 sheet also covers 1919-1929; approximate for pre-1919 stock)
P2,1919_1945,SFH,SFH_03,1921-1945,Wall_01.06,1.482,,,,,Roof_01.01,1.7964,,,Floor_01.04,2.0893,,,,,,missing: URBEM SFH/MFH workbooks not in repo - do not copy Apartments values,,"missing: TABULA national window table not extracted - use defaults, do not invent",,,,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium: opaque from TABULA; windows/systems missing for this class
P2,1919_1945,MFH,MFH_03,1921-1945,Wall_01.06,1.482,Wall_03.01,1.1516,,,Roof_01.01,1.7964,Ceiling_02.03,2.6698,Floor_02.03,1.9518,,,,,,missing: URBEM SFH/MFH workbooks not in repo - do not copy Apartments values,,"missing: TABULA national window table not extracted - use defaults, do not invent",,,,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium: opaque from TABULA; windows/systems missing for this class
P2,1919_1945,Apartments,AB_03,1921-1945,Wall_01.07,1.1349,Wall_01.08,1.0189,Wall_01.05,1.9943,Roof_03.01,2.2167,Ceiling_02.02,2.4824,Floor_02.02,1.8182,3.209,1.2449,,,,"URBEM ['1931-1940', '1941-1950'] EPC apartments (n=30678)",,"missing: TABULA national window table not extracted - use defaults, do not invent",External walls: solid brick masonry (cod. MLP01) or hollow brick masonry with air gap (cod. MCV01).,Roof slabs: concrete floor slab (cod. SOL06).,Hollow brick masonry: 26.91%; Solid Brick masonry: 70.09%; Unknown: 3.00%,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium (weighted blend of URBEM 1931-1940 + 1941-1950; 1919-1930 years missing from blend)
P3,1946_1960,SFH,SFH_04,1946-1960,Wall_01.06,1.482,,,,,Roof_03.01,2.2167,,,Floor_01.04,2.0893,,,,,,missing: URBEM SFH/MFH workbooks not in repo - do not copy Apartments values,,"missing: TABULA national window table not extracted - use defaults, do not invent",,,,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium: opaque from TABULA; windows/systems missing for this class
P3,1946_1960,MFH,MFH_04,1946-1960,Wall_01.06,1.482,Wall_01.05,1.9943,,,Roof_01.01,1.7964,Ceiling_03.01,1.6636,Floor_03.01,1.3182,,,,,,missing: URBEM SFH/MFH workbooks not in repo - do not copy Apartments values,,"missing: TABULA national window table not extracted - use defaults, do not invent",,,,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium: opaque from TABULA; windows/systems missing for this class
P3,1946_1960,Apartments,AB_04,1946-1960,Wall_03.01,1.1516,Wall_04.03,3.4134,,,Roof_01.01,1.7964,Ceiling_03.01,1.6636,Floor_03.01,1.3182,3.3028,1.2718,,,,"URBEM ['1941-1950', '1951-1960'] EPC apartments (n=64810)",,"missing: TABULA national window table not extracted - use defaults, do not invent",External walls: hollow brick masonry with air gap (cod. MCV01).,Roof slabs: reinforced concrete floor slab (cod. SOL04).,Hollow brick masonry: 64.32%; Solid Brick masonry: 32.68%; Unknown: 3.00%,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium (weighted blend of URBEM 1941-1950 + 1951-1960; 1941-1945 spill into blend)
P4,1961_1970,SFH,SFH_05,1961-1975,Wall_04.02,1.2623,,,,,Roof_03.01,2.2167,,,Floor_01.04,2.0893,,,,,,missing: URBEM SFH/MFH workbooks not in repo - do not copy Apartments values,,"missing: TABULA national window table not extracted - use defaults, do not invent",,,,TABULA tabula.csv (Politecnico XLS) + URBEM RES_APPBLOCK_E_PIE.xlsx,medium: opaque from TABULA; windows/systems missing for this class
