period_id,period_label,building_class,heating_system_shares,energy_carrier_shares,dhw_system_shares,ventilation_type,air_exchange_rate_h,heating_daily_hours_h,heating_power_kw_mean,heating_power_kw_std,cooling_power_kw_mean,cooling_power_kw_std,dhw_power_kw_mean,dhw_power_kw_std,dhw_temp_c,apartment_net_floor_area_m2_mean,apartment_net_floor_area_m2_std,apartment_gross_volume_m3_mean,apartment_gross_volume_m3_std,compactness_mean,compactness_std,occupancy_source,efficiency_note,system_source,confidence,data_quality_flag
P1,before_1918,Apartments,Autonomous: 76.00%; Centralized: 24.00%,District heating: 5.00%; Electricity: 7.00%; Gas Oil: 2.00%; LPG: 2.00%; Natural Gas: 80.00%; Solid biomass: 4.00%,"Autonomous, coupled with heating: 55.00%; Autonomous, detached from heating: 30.00%; Centralized, coupled with heating: 13.00%; Centralized, detached from heating: 2.00%",Natural: 100%,0.3,14,23.4,6.2,6.0,5.6,19.4,9.9,40,80.7,55.4,342.3,246.2,0.58,0.41,UNI EN 16798-1 Table A.19 (occupancy) and A.8.3 (lighting/equipment),efficiency/COP NOT in URBEM - retrieve from suitable datasheets per system type; never use power as efficiency,URBEM ['-1930'] EPC apartments (n=58853),medium (proxy: URBEM <1930 sheet also covers 1919-1929; approximate for pre-1919 stock),
P1,before_1918,SFH,,,,,,,,,,,,,,,,,,,,UNI EN 16798-1 (same standard applies once class workbooks added),missing for this class,missing: URBEM SFH/MFH workbooks not in repo; EPISCOPE S-2.x regional aggregates to be added - do not copy Apartments shares,missing,
P1,before_1918,MFH,,,,,,,,,,,,,,,,,,,,UNI EN 16798-1 (same standard applies once class workbooks added),missing for this class,missing: URBEM SFH/MFH workbooks not in repo; EPISCOPE S-2.x regional aggregates to be added - do not copy Apartments shares,missing,
P2,1919_1945,Apartments,Autonomous: 63.57%; Centralized: 36.43%,District heating: 5.00%; Electricity: 7.00%; Gas Oil: 2.00%; LPG: 2.00%; Natural Gas: 80.00%; Solid biomass: 4.00%,"Autonomous, coupled with heating: 48.10%; Autonomous, detached from heating: 40.95%; Centralized, coupled with heating: 9.48%; Centralized, detached from heating: 1.48%",Natural: 100%,0.3,14,23.5049,6.3008,5.4098,4.9518,18.3098,10.0976,40,75.9195,45.3496,311.1647,192.3324,0.58,2.107,UNI EN 16798-1 Table A.19 (occupancy) and A.8.3 (lighting/equipment),efficiency/COP NOT in URBEM - retrieve from suitable datasheets per system type; never use power as efficiency,"URBEM ['1931-1940', '1941-1950'] EPC apartments (n=30678)",medium (weighted blend of URBEM 1931-1940 + 1941-1950; 1919-1930 years missing from blend),
P2,1919_1945,SFH,,,,,,,,,,,,,,,,,,,,UNI EN 16798-1 (same standard applies once class workbooks added),missing for this class,missing: URBEM SFH/MFH workbooks not in repo; EPISCOPE S-2.x regional aggregates to be added - do not copy Apartments shares,missing,
P2,1919_1945,MFH,,,,,,,,,,,,,,,,,,,,UNI EN 16798-1 (same standard applies once class workbooks added),missing for this class,missing: URBEM SFH/MFH workbooks not in repo; EPISCOPE S-2.x regional aggregates to be added - do not copy Apartments shares,missing,
P3,1946_1960,Apartments,Autonomous: 39.44%; Centralized: 60.56%,District heating: 5.75%; Electricity: 7.00%; Gas Oil: 1.25%; LPG: 2.00%; Natural Gas: 80.00%; Solid biomass: 4.00%,"Autonomous, coupled with heating: 28.95%; Autonomous, detached from heating: 62.55%; Centralized, coupled with heating: 6.74%; Centralized, detached from heating: 1.75%",Natural: 100%,0.3,14,23.1489,7.0698,4.6979,3.6048,15.7184,10.3505,40,72.3907,42.4622,286.5706,174.3678,0.5199,0.9053,UNI EN 16798-1 Table A.19 (occupancy) and A.8.3 (lighting/equipment),efficiency/COP NOT in URBEM - retrieve from suitable datasheets per system type; never use power as efficiency,"URBEM ['1941-1950', '1951-1960'] EPC apartments (n=64810)",medium (weighted blend of URBEM 1941-1950 + 1951-1960; 1941-1945 spill into blend),
P3,1946_1960,SFH,,,,,,,,,,,,,,,,,,,,UNI EN 16798-1 (same standard applies once class workbooks added),missing for this class,missing: URBEM SFH/MFH workbooks not in repo; EPISCOPE S-2.x regional aggregates to be added - do not copy Apartments shares,missing,
P3,1946_1960,MFH,,,,,,,,,,,,,,,,,,,,UNI EN 16798-1 (same standard applies once class workbooks added),missing for this class,missing: URBEM SFH/MFH workbooks not in repo; EPISCOPE S-2.x regional aggregates to be added - do not copy Apartments shares,missing,
P4,1961_1970,Apartments,Centralized: 73.00%; Autonomous: 27.00%,Natural Gas: 80.00%; Electricity: 7.00%; District heating: 6.00%; Solid biomass: 4.00%; LPG: 2.00%; Gas Oil: 2.00%,"Autonomous, detached from heating: 66.00%; Autonomous, coupled with heating: 20.00%; Centralized, coupled with heating: 10.00%; Centralized, detached from heating: 4.00%",Natural: 100%,0.3,14,22.9,7.5,4.6,3.3,15,10.3,40,76.7,34.6,297.3,143.5,0.5,0.38,UNI EN 16798-1 Table A.19 (occupancy) and A.8.3 (lighting/equipment),efficiency/COP NOT in URBEM - retrieve from suitable datasheets per system type; never use power as efficiency,URBEM ['1961-1970'] EPC apartments (n=76504),high,"dhw_power mean (15.0) far below median (19.2) with q1=1.5 - suspect entry in workbook, verify"
P4,1961_1970,SFH,,,,,,,,,,,,,,,,,,,,UNI EN 16798-1 (same standard applies once class workbooks added),missing for this class,missing: URBEM SFH/MFH workbooks not in repo; EPISCOPE S-2.x regional aggregates to be added - do not copy Apartments shares,missing,
P4,1961_1970,MFH,,,,,,,,,,,,,,,,,,,,UNI EN 16798-1 (same standard applies once class workbooks added),missing for this class,missing: URBEM SFH/MFH workbooks not in repo; EPISCOPE S-2.x regional aggregates to be added - do not copy Apartments shares,missing,
P5,1971_1980,Apartments,Centralized: 57.00%; Autonomous: 43.00%,Natural Gas: 80.00%; Electricity: 7.00%; District heating: 5.00%; Solid biomass: 4.00%; LPG: 2.00%; Gas Oil: 2.00%,"Autonomous, detached from heating: 38.00%; Autonomous, coupled with heating: 36.00%; Centralized, coupled with heating: 19.00%; Centralized, detached from heating: 7.00%",Natural: 100%,0.3,14,6.1,23.6,5,3.6,18.6,10.1,40,87.1,40.5,333.9,167.7,0.56,1.06,UNI EN 16798-1 Table A.19 (occupancy) and A.8.3 (lighting/equipment),efficiency/COP NOT in URBEM - retrieve from suitable datasheets per system type; never use power as efficiency,URBEM ['1971-1980'] EPC apartments (n=33754),high,"heating_power mean (6.1) below q1 (24.0), median 0.0 - suspect entry in workbook, verify; dhw_power q1=12.0 vs mean 18.6 ok"
P5,1971_1980,SFH,,,,,,,,,,,,,,,,,,,,UNI EN 16798-1 (same standard applies once class workbooks added),missing for this class,missing: URBEM SFH/MFH workbooks not in repo; EPISCOPE S-2.x regional aggregates to be added - do not copy Apartments shares,missing,
