X,Y,OBJECTID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER
-8408815.405,4856472.983,0,100000,UNKNOWN107655,SHELL LAKE,WI,54871,SUBSTATION,IN SERVICE,WASHBURN,55129,USA,39.934806,-75.537674,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://psc.wi.gov/utilityinfo/maps/electricmaps.htm,4/7/2014 0:00,IMAGERY,8/28/2015 0:00,5,161,69,N,Y
-10226336.56,5743316.246,1,107655,UNKNOWN107655,SHELL LAKE,WI,54871,SUBSTATION,IN SERVICE,WASHBURN,55129,USA,45.76842336,-91.86474437,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://psc.wi.gov/utilityinfo/maps/electricmaps.htm,4/7/2014 0:00,IMAGERY,8/28/2015 0:00,5,161,69,N,Y
-10053464.96,5706699.742,2,107656,UNKNOWN107656,PRENTICE,WI,54556,SUBSTATION,IN SERVICE,PRICE,55099,USA,45.53850181,-90.31181231,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://psc.wi.gov/utilityinfo/maps/electricmaps.htm,4/7/2014 0:00,IMAGERY,8/28/2015 0:00,3,115,69,N,Y
-10144276.07,5656784.281,3,107657,UNKNOWN107657,HOLCOMBE,WI,54745,SUBSTATION,IN SERVICE,CHIPPEWA,55017,USA,45.22355314,-91.12758237,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://psc.wi.gov/utilityinfo/maps/electricmaps.htm,4/7/2014 0:00,IMAGERY,8/28/2015 0:00,4,115,-999999,N,N
-9778125.514,5420826.129,4,107658,SOUTH SHEBOYGAN FALLS,LIMA TOWN OF,WI,53085,SUBSTATION,IN SERVICE,SHEBOYGAN,55117,USA,43.71099338,-87.83839599,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap, http://www.atcllc.com/wp-content/uploads/2011/05/ATCTerritory34x34April2011_000.pdf",4/7/2014 0:00,IMAGERY,9/11/2018 0:00,3,138,69,Y,Y
-9773953.789,5702771.663,5,107659,CHALK HILLS HY,DAGGETT,MI,49821,SUBSTATION,IN SERVICE,MENOMINEE,26109,USA,45.51378064,-87.80092075,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.atcllc.com/wp-content/uploads/2014/03/ATC-Territory-34x34-January-2014.pdf,4/7/2014 0:00,IMAGERY,3/23/2020 0:00,3,138,-999999,N,N
-9840845.955,5498960.535,6,107660,MEADOWS,MENASHA,WI,54952,SUBSTATION,IN SERVICE,CALUMET,55015,USA,44.21619818,-88.4018233,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"http://psc.wi.gov/utilityinfo/maps/electricmaps.htm, http://www.atcllc.com/wp-content/uploads/2013/07/ATC-Territory-34x34-March-2013.pdf, http://www.atcllc.com/wp-content/uploads/2011/05/ATCTerritory34x34April2011_000.pdf",4/7/2014 0:00,IMAGERY,9/7/2018 0:00,1,138,138,N,N
-9862420.529,5364577.409,7,107662,HUSTISFORD,HUSTISFORD,WI,53034,SUBSTATION,IN SERVICE,DODGE,55027,USA,43.344639,-88.595631,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://psc.wi.gov/utilityinfo/maps/electricmaps.htm,4/7/2014 0:00,IMAGERY,4/22/2020 0:00,2,138,138,N,N
-10130804.03,5355878.444,8,107663,UNKNOWN107663,EASTMAN,WI,54626,SUBSTATION,IN SERVICE,CRAWFORD,55023,USA,43.287783,-91.006561,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://psc.wi.gov/utilityinfo/maps/electricmaps.htm,4/7/2014 0:00,IMAGERY,8/28/2015 0:00,3,161,161,N,N
-9575385.511,4120029.622,9,107664,SCOTTSBORO,SCOTTSBORO,AL,35768,SUBSTATION,IN SERVICE,JACKSON,1071,USA,34.67668021,-86.01715156,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://www.oatioasis.com/TVA/TVAdocs/TVA_Transmission_Map_2011_r2.pdf",4/7/2014 0:00,IMAGERY,4/30/2020 0:00,3,161,-999999,Y,Y
